otel,dd,description
abortspanbytes,cockroachdb.abortspanbytes,Number of bytes in the abort span
addsstable_applications,cockroachdb.addsstable.applications.count,Number of SSTable ingestions applied (i.e. applied by Replicas)
addsstable_copies,cockroachdb.addsstable.copies.count,number of SSTable ingestions that required copying files during application
addsstable_delay_enginebackpressure,cockroachdb.addsstable.delay.enginebackpressure.count,Amount by which evaluation of AddSSTable requests was delayed by storage-engine backpressure
addsstable_proposals,cockroachdb.addsstable.proposals.count,Number of SSTable ingestions proposed (i.e. sent to Raft by lease holders)
admission_admitted_elastic_cpu,cockroachdb.admission.admitted.elastic_cpu.count,Number of requests admitted
admission_admitted_elastic_cpu_bulk_normal_pri,cockroachdb.admission.admitted.elastic_cpu.bulk_normal_pri.count,Number of requests admitted
admission_admitted_elastic_cpu_normal_pri,cockroachdb.admission.admitted.elastic_cpu.normal_pri.count,Number of requests admitted
admission_admitted_kv,cockroachdb.admission.admitted.kv.count,Number of requests admitted
admission_admitted_kv_high_pri,cockroachdb.admission.admitted.kv.high_pri.count,Number of requests admitted
admission_admitted_kv_locking_normal_pri,cockroachdb.admission.admitted.kv.locking_normal_pri.count,Number of requests admitted
admission_admitted_kv_normal_pri,cockroachdb.admission.admitted.kv.normal_pri.count,Number of requests admitted
admission_admitted_kv_stores,cockroachdb.admission.admitted.kv_stores.count,Number of requests admitted
admission_admitted_kv_stores_high_pri,cockroachdb.admission.admitted.kv_stores.high_pri.count,Number of requests admitted
admission_admitted_kv_stores_locking_normal_pri,cockroachdb.admission.admitted.kv_stores.locking_normal_pri.count,Number of requests admitted
admission_admitted_kv_stores_normal_pri,cockroachdb.admission.admitted.kv_stores.normal_pri.count,Number of requests admitted
admission_admitted_sql_kv_response,cockroachdb.admission.admitted.sql_kv.response.count,Number of requests admitted
admission_admitted_sql_kv_response_locking_normal_pri,cockroachdb.admission.admitted.sql_kv_response.locking_normal_pri.count,Number of requests admitted
admission_admitted_sql_kv_response_normal_pri,cockroachdb.admission.admitted.sql_kv_response.normal_pri.count,Number of requests admitted
admission_admitted_sql_leaf_start,cockroachdb.admission.admitted.sql.leaf.start.count,Number of requests admitted
admission_admitted_sql_leaf_start,cockroachdb.admission.admitted.sql_leaf_start.count,Number of requests admitted
admission_admitted_sql_leaf_start_locking_normal_pri,cockroachdb.admission.admitted.sql_leaf_start.locking_normal_pri.count,Number of requests admitted
admission_admitted_sql_leaf_start_normal_pri,cockroachdb.admission.admitted.sql_leaf_start.normal_pri.count,Number of requests admitted
admission_admitted_sql_root_start,cockroachdb.admission.admitted.sql_root_start.count,Number of requests admitted
