metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
blazemeter.functional.gridSummary_brokenTestCasesCount,gauge,,,,The number of test cases that are in a broken state,-1,blazemeter,,,
blazemeter.functional.gridSummary_failedTestCasesCount,gauge,,,,The number of the test cases that are in a failed state,-1,blazemeter,,,
blazemeter.functional.gridSummary_passedPercent,gauge,,percent,,The percentage of test cases that passed,1,blazemeter,,,
blazemeter.functional.gridSummary_passedTestCasesCount,gauge,,,,The number of test cases that are in a passed state,1,blazemeter,,,
blazemeter.functional.gridSummary_testCasesCount,gauge,,,,The number of test cases in a test,0,blazemeter,,,
blazemeter.functional.gridSummary_undefinedTestCasesCount,gauge,,,,The number of test cases that are in undefined state,0,blazemeter,,,
blazemeter.functional.gridSummary_uniqueSuitesCount,gauge,,,,The unique number of testsuites in a test,0,blazemeter,,,
blazemeter.functional.gridSummary_uniqueTestCasesCount,gauge,,,,The unique number of test cases in a test,0,blazemeter,,,
blazemeter.functional.individual_testCaseCount,gauge,,,,The individual number of test cases in a test,0,blazemeter,,,
blazemeter.performance.assertions_failures,gauge,,,,Number of failures generated with this assertion name and message,-1,blazemeter,,,
blazemeter.performance.errors_count,gauge,,,,Number of errors generated with this response code and message,-1,blazemeter,,,
blazemeter.performance.errors_url_count,gauge,,,,Number of errors the URL generated an error,-1,blazemeter,,,
blazemeter.performance.failedEmbeddedResources_count,gauge,,,,Number of errors generated with this response code and message,-1,blazemeter,,,
blazemeter.performance.request_90line,gauge,,millisecond,,Max Response Time for 90% of samples,1,blazemeter,,,
blazemeter.performance.request_95line,gauge,,millisecond,,Max Response Time for 95% of samples,1,blazemeter,,,
blazemeter.performance.request_99line,gauge,,millisecond,,Max Response Time for 99% of samples,1,blazemeter,,,
blazemeter.performance.request_avgBytes,gauge,,byte,,Average size of requests.,0,blazemeter,,,
blazemeter.performance.request_avgLatency,gauge,,millisecond,,Average Latency of the label.,-1,blazemeter,,,
blazemeter.performance.request_avgResponseTime,gauge,,millisecond,,Average response time of the label.,-1,blazemeter,,,
blazemeter.performance.request_avgThroughput,gauge,,hit,second,Average number of requests processed per second.,1,blazemeter,,,
blazemeter.performance.request_concurrency,gauge,,,,Maximum Concurrent Users,1,blazemeter,,,
blazemeter.performance.request_duration,gauge,,second,,Total duration of the test,0,blazemeter,,,
blazemeter.performance.request_errorRate,gauge,,percent,,Percentage of requests that resulted in errors.,-1,blazemeter,,,
blazemeter.performance.request_errorsCount,gauge,,,,Total number of errors.,-1,blazemeter,,,
blazemeter.performance.request_maxResponseTime,gauge,,millisecond,,Maximum response time of the label.,-1,blazemeter,,,
blazemeter.performance.request_medianResponseTime,gauge,,millisecond,,Maximum Response Time for 50% of samples,0,blazemeter,,,
blazemeter.performance.request_minResponseTime,gauge,,millisecond,,Minimum response time of the label.,1,blazemeter,,,
blazemeter.performance.request_samples,gauge,,,,Total number of samples or requests processed.,1,blazemeter,,,
blazemeter.performance.request_stDev,gauge,,millisecond,,Standard deviation of the response times.,-1,blazemeter,,,
blazemeter.performance.summary_avg,gauge,,millisecond,,Average Response Time of the test run.,-1,blazemeter,,,
blazemeter.performance.summary_bytes,gauge,,byte,,Average Bandwidth of the test run.,1,blazemeter,,,
blazemeter.performance.summary_concurrency,gauge,,,,Maximum Concurrent Users,1,blazemeter,,,
blazemeter.performance.summary_duration,gauge,,second,,Duration of Test Run,0,blazemeter,,,
blazemeter.performance.summary_failed,gauge,,,,Total Number of Errors in the test run.,-1,blazemeter,,,
blazemeter.performance.summary_hits,gauge,,,,Total number of successful requests processed.,1,blazemeter,,,
blazemeter.performance.summary_hits_avg,gauge,,hit,second,Average number of hits per second.,0,blazemeter,,,
blazemeter.performance.summary_latency,gauge,,millisecond,,Average Latency of the test run.,-1,blazemeter,,,
blazemeter.performance.summary_max,gauge,,millisecond,,Maximum Response Time.,-1,blazemeter,,,
blazemeter.performance.summary_maxUsers,gauge,,,,The maximum concurrency the test reached.,1,blazemeter,,,
blazemeter.performance.summary_min,gauge,,millisecond,,Minimum Response Time.,1,blazemeter,,,
blazemeter.performance.summary_stDev,gauge,,millisecond,,Standard deviation of the response times,0,blazemeter,,,
blazemeter.performance.summary_tp90,gauge,,millisecond,,Max response time for 90% of samples,-1,blazemeter,,,
