metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
cassandra.active_tasks,gauge,10,task,,The number of tasks that the thread pool is actively executing.,0,cassandra,actv tsks
cassandra.bloom_filter_disk_space_used,gauge,10,byte,,Disk space used by the Bloom filters.,0,cassandra,blm fltr disk
cassandra.bloom_filter_false_positives,gauge,10,event,,The number of Bloom filter false positives.,-1,cassandra,bloom false pos
cassandra.bloom_filter_false_ratio,gauge,10,fraction,,The ratio of Bloom filter false positives to total checks.,-1,cassandra,bloom false ratio
cassandra.capacity,gauge,10,byte,,"The capacity of the caches, such as the key cache and row cache.",0,cassandra,cache cap
cassandra.completed_tasks,gauge,10,task,,The number of tasks that the thread pool has completed.,0,cassandra,compl tsks
cassandra.compression_ratio,gauge,10,fraction,,The compression ratio for all SSTables in a column family.,0,cassandra,compress ratio
cassandra.currently_blocked_tasks.count,gauge,10,task,,The number of currently blocked tasks for the thread pool.,-1,cassandra,blkd tsks
cassandra.exceptions.count,gauge,10,error,,The number of exceptions thrown.,-1,cassandra,excptns
cassandra.hits.count,gauge,10,hit,,The number of hits to a cache.,1,cassandra,hits
cassandra.latency.count,gauge,10,request,,The number of client requests.,0,cassandra,req
cassandra.latency.one_minute_rate,gauge,10,request,second,"Recent rate of client requests, as an exponentially weighted moving average over a one-minute interval.",0,cassandra,req/s
cassandra.live_disk_space_used.count,gauge,10,byte,,"Disk space used by ""live"" SSTables (only counts non-obsolete files).",0,cassandra,live disk used
cassandra.live_ss_table_count,gauge,10,file,,"Number of ""live"" (non-obsolete) SSTables.",0,cassandra,live sstables
cassandra.load.count,gauge,10,byte,,Disk space used on a node.,0,cassandra,load
cassandra.max_row_size,gauge,10,byte,,Size of the largest compacted row.,0,cassandra,max row
cassandra.mean_row_size,gauge,10,byte,,Average size of compacted rows.,0,cassandra,mean row
cassandra.memtable_columns_count,gauge,10,column,,Number of columns in memtable.,0,cassandra,memtable col
cassandra.memtable_live_data_size,gauge,10,byte,,Size of data stored in memtable.,0,cassandra,memtable size
cassandra.memtable_switch_count.count,gauge,10,event,,Number of times a full memtable has been switched out for an empty one due to flushing.,0,cassandra,memtable switch
cassandra.min_row_size,gauge,10,byte,,Size of the smallest compacted row.,0,cassandra,min row
cassandra.pending_tasks,gauge,10,task,,The number of pending tasks for the thread pool.,-1,cassandra,pend tsks
cassandra.requests.count,gauge,10,request,,The number of requests to a cache.,0,cassandra,cache req
cassandra.size,gauge,10,byte,,Size of cache.,0,cassandra,cache size
cassandra.timeouts.count,gauge,10,timeout,,Count of requests not acknowledged within configurable timeout window.,-1,cassandra,timeout
cassandra.timeouts.one_minute_rate,gauge,10,timeout,second,"Recent timeout rate, as an exponentially weighted moving average over a one-minute interval.",-1,cassandra,timeout/s
cassandra.total_disk_space_used.count,gauge,10,byte,,Disk space used by a column family.,0,cassandra,cf disk space
cassandra.total_latency.count,gauge,10,microsecond,,Total latency for all client requests.,-1,cassandra,tot latency
cassandra.unavailables.count,gauge,10,error,,Count of requests for which the required number of nodes was unavailable.,-1,cassandra,unavail
cassandra.unavailables.one_minute_rate,gauge,10,error,second,"Recent rate of unavailable exceptions, as an exponentially weighted moving average over a one-minute interval. ",-1,cassandra,unavail/s
cassandra.db.update_interval,gauge,10,millisecond,,"The configurable update interval for the dynamic snitch, which monitors read latency to route requests away from slow nodes. ",0,cassandra,dyn sntch intvl
