pinot.server.pinot_server_grpcQueries_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.grpcQueries",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_grpcTransportReady_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.grpcTransportReady",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_grpcTransportReady_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.grpcTransportReady",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_grpcTransportReady_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.grpcTransportReady",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_grpcTransportReady_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.grpcTransportReady",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_grpcTransportReady_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.grpcTransportReady",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_grpcTransportTerminated_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.grpcTransportTerminated",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_grpcTransportTerminated_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.grpcTransportTerminated",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_grpcTransportTerminated_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.grpcTransportTerminated",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_grpcTransportTerminated_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.grpcTransportTerminated",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_grpcTransportTerminated_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.grpcTransportTerminated",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_hashJoinTimesMaxRowsReached_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.hashJoinTimesMaxRowsReached",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_hashJoinTimesMaxRowsReached_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.hashJoinTimesMaxRowsReached",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_hashJoinTimesMaxRowsReached_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.hashJoinTimesMaxRowsReached",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_hashJoinTimesMaxRowsReached_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.hashJoinTimesMaxRowsReached",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_hashJoinTimesMaxRowsReached_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.hashJoinTimesMaxRowsReached",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_heapCriticalLevelExceeded_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.heapCriticalLevelExceeded",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_heapCriticalLevelExceeded_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.heapCriticalLevelExceeded",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_heapCriticalLevelExceeded_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.heapCriticalLevelExceeded",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_heapCriticalLevelExceeded_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.heapCriticalLevelExceeded",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_heapCriticalLevelExceeded_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.heapCriticalLevelExceeded",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_heapPanicLevelExceeded_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.heapPanicLevelExceeded",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_heapPanicLevelExceeded_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.heapPanicLevelExceeded",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_heapPanicLevelExceeded_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.heapPanicLevelExceeded",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_heapPanicLevelExceeded_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.heapPanicLevelExceeded",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_heapPanicLevelExceeded_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.heapPanicLevelExceeded",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_helix_connected_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.helix.connected",type="ServerMetrics",attribute=Value",0,pinot.server,,
pinot.server.pinot_server_helix_zookeeperReconnects_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.helixZookeeperReconnects",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_helix_zookeeperReconnects_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.helixZookeeperReconnects",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_helix_zookeeperReconnects_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.helixZookeeperReconnects",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_helix_zookeeperReconnects_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.helixZookeeperReconnects",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_helix_zookeeperReconnects_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.helixZookeeperReconnects",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_indexingFailures_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.indexingFailures",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_indexingFailures_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.indexingFailures",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_indexingFailures_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.indexingFailures",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_indexingFailures_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.indexingFailures",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_indexingFailures_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.indexingFailures",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_jvmHeapUsedBytes_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.jvmHeapUsedBytes",type="ServerMetrics",attribute=Value",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_CatchUp_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCatchUp",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_CatchUp_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCatchUp",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_CatchUp_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCatchUp",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_CatchUp_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCatchUp",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_CatchUp_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCatchUp",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_CommitContinue_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCommitContinue",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_CommitContinue_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCommitContinue",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_CommitContinue_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCommitContinue",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_CommitContinue_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCommitContinue",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_CommitContinue_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCommitContinue",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_CommitSuccess_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCommitSuccess",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_CommitSuccess_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCommitSuccess",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_CommitSuccess_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCommitSuccess",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_CommitSuccess_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCommitSuccess",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_CommitSuccess_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCommitSuccess",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Commit_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCommit",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Commit_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCommit",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Commit_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCommit",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Commit_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCommit",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Commit_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseCommit",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Discard_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseDiscard",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Discard_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseDiscard",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Discard_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseDiscard",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Discard_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseDiscard",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Discard_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseDiscard",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Failed_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseFailed",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Failed_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseFailed",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Failed_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseFailed",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Failed_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseFailed",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Failed_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseFailed",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Hold_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseHold",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Hold_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseHold",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Hold_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseHold",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Hold_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseHold",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Hold_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseHold",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Keep_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseKeep",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Keep_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseKeep",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Keep_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseKeep",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Keep_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseKeep",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Keep_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseKeep",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_NotLeader_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseNotLeader",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_NotLeader_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseNotLeader",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_NotLeader_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseNotLeader",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_NotLeader_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseNotLeader",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_NotLeader_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseNotLeader",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_NotSent_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseNotSent",type="ServerMetrics",attribute=Count",0,pinot.server,,
