metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
keda.aggregator_discovery_aggregation.count,count,,,,Number of times discovery was aggregated.,0,keda,,,
keda.apiserver_audit_event.count,count,,,,Number of audit events generated and sent to the audit backend.,0,keda,,,
keda.apiserver_audit_requests_rejected.count,count,,request,,Number of API server requests rejected due to an error in audit logging backend.,0,keda,,,
keda.apiserver_client_certificate_expiration_seconds.bucket,count,,,,Number of certificates observed in the apiserver_client_certificate_expiration_seconds histogram tagged by upper_bound tags.,0,keda,,,
keda.apiserver_client_certificate_expiration_seconds.count,count,,,,Number of certificates observed in the apiserver_client_certificate_expiration_seconds histogram.,0,keda,,,
keda.apiserver_client_certificate_expiration_seconds.sum,count,,second,,The sum of duration of certificates remaining expiration time in the apiserver_client_certificate_expiration_seconds histogram.,0,keda,,,
keda.apiserver_current_inflight_requests,gauge,,request,,Maximal number of currently used inflight request limit of this API server per request kind in last second.,0,keda,,,
keda.apiserver_delegated_authz_request.count,count,,request,,Number of HTTP requests partitioned by status code.,0,keda,,,
keda.apiserver_delegated_authz_request_duration_seconds.bucket,count,,,,Number of observations apiserver_delegated_authz_request_duration_seconds histogram. Broken down by status code and upper_bound duration tags.,0,keda,,,
keda.apiserver_delegated_authz_request_duration_seconds.count,count,,,,Number of observations apiserver_delegated_authz_request_duration_seconds histogram. Broken down by status code.,0,keda,,,
keda.apiserver_delegated_authz_request_duration_seconds.sum,count,,second,,The sum of duration of requests in the apiserver_delegated_authz_request_duration_seconds histogram.,0,keda,,,
keda.apiserver_envelope_encryption_dek_cache_fill_percent,gauge,,,,Percent of the cache slots currently occupied by cached DEKs.,0,keda,,,
keda.apiserver_flowcontrol_read_vs_write_current_requests.bucket,count,,request,,The number of requests (as a fraction of the relevant limit) waiting or in execution at the end of each nanosecond. Tagged by upper_bound tags.,0,keda,,,
keda.apiserver_flowcontrol_read_vs_write_current_requests.count,count,,request,,The number of requests (as a fraction of the relevant limit) observed at the end of each nanosecond.,0,keda,,,
keda.apiserver_flowcontrol_read_vs_write_current_requests.sum,count,,,,The sum of all observed request fractions at the end of each nanosecond.,0,keda,,,
keda.apiserver_flowcontrol_seat_fair_frac,gauge,,,,Fair fraction of server's concurrency to allocate to each priority level that can use it.,0,keda,,,
keda.apiserver_request.count,count,,request,,"Number of API server requests broken out for each verb, dry run value, group, version, resource, scope, component, and HTTP response code.",0,keda,,,
keda.apiserver_request_duration_seconds.bucket,count,,request,,The number of requests used to calculate the response time tagged by upper_bound tags.,0,keda,,,
keda.apiserver_request_duration_seconds.count,count,,request,,The number of requests used to calculate the response time.,0,keda,,,
keda.apiserver_request_duration_seconds.sum,count,,second,,"The sum in response time in seconds for each verb, dry run value, group, version, resource, subresource, scope and component.",0,keda,,,
keda.apiserver_request_filter_duration_seconds.bucket,count,,,,The number of observations used to calculate the request filter latency tagged by upper_bound tags.,0,keda,,,
